序號,設施名稱,is_indoor,分類原因
455,"德智,德仁里活動中心",True,包含強制室內關鍵字: 活動中心
456,寶珠溝里活動中心,True,包含強制室內關鍵字: 活動中心
457,高雄市立陽明國民中學,True,預設室內
458,高雄市三民區民族國民小學,True,預設室內
459,高雄市避難收容暨備災訓練中心,True,預設室內
460,中都地區聯合里活動中心,True,包含強制室內關鍵字: 活動中心
461,高雄市立正興國民中學,True,預設室內
462,高雄市三民區愛國國民小學,True,預設室內
463,高雄市三民區博愛國民小學,True,預設室內
464,高雄市三民區陽明國民小學,True,預設室內
465,高雄市三民區正興國民小學,True,預設室內
466,高雄市立三民國民中學,True,預設室內
467,高雄市三民區十全國民小學,True,預設室內
468,"安東,安和,達明聯合里活動中心",True,包含強制室內關鍵字: 活動中心
469,高雄市三民區公所,True,包含強制室內關鍵字: 公所
470,麟洛國中,True,包含強制室內關鍵字: 國中
471,高雄市立文山高級中學,True,預設室內
472,寶盛里活動中心,True,包含強制室內關鍵字: 活動中心
473,高雄市三民區東光國民小學,True,預設室內
474,安宜里活動中心,True,包含強制室內關鍵字: 活動中心
475,屏東市前進國小,True,包含強制室內關鍵字: 國小
476,高雄市立高雄高級工業職業學校,True,包含強制室內關鍵字: 學校
477,麟洛鄉圖書館,True,包含強制室內關鍵字: 圖書館
478,麟洛國小,True,包含強制室內關鍵字: 國小
479,老人文康活動中心,True,包含強制室內關鍵字: 活動中心
480,高雄市立鼓山高級中學,True,預設室內
481,高雄市鼓山區九如國民小學,True,預設室內
482,佳義基督長老教會教育館,True,預設室內
483,高雄市鳥松區大華國民小學,True,預設室內
484,高雄市鼓山區龍華國民小學,True,預設室內
485,本和里活動中心,True,包含強制室內關鍵字: 活動中心
486,高雄市立鼎金國民中學,True,預設室內
487,本館里集會所,True,包含強制室內關鍵字: 集會所
488,高雄市大樹區九曲國民小學,True,預設室內
489,高雄市立鼎金國民中學,True,預設室內
490,台灣基督教長老教會仁美教會短期收,True,預設室內
491,高雄市三民區莊敬國民小學,True,預設室內
492,高雄市鼓山區內惟國民小學,True,預設室內
493,大樹區綜合體育館,True,包含強制室內關鍵字: 體育館
494,高雄市立大樹國民中學,True,預設室內
495,高雄市立七賢國民中學,True,預設室內
496,灣愛里活動中心,True,包含強制室內關鍵字: 活動中心
497,仁美營區,True,預設室內
498,高雄市立龍華國民中學,True,預設室內
499,高雄市鳥松區仁美國民小學,True,預設室內
500,屏東大學屏商校區活動中心,True,包含強制室內關鍵字: 大學
